Track,Event Type,Midi Note,Note Name,Velocity,Duration (seconds),Time (seconds)
2,note_on,44,G#2,0.6299212598425197,0.2837495270833301,43.20
1,note_on,70,A#4,0.6299212598425197,0.14124976458332839,43.35
1,note_on,68,G#4,0.6299212598425197,0.14124976458332839,43.50
2,note_on,51,D#3,0.6299212598425197,0.2837495270833301,43.50
1,note_on,70,A#4,0.6299212598425197,0.14124976458332839,43.65
1,note_on,72,C5,0.6299212598425197,0.5687490520833336,43.80
2,note_on,60,C4,0.6299212598425197,0.1412497645833355,43.80
2,note_on,58,A#3,0.6299212598425197,0.1412497645833355,43.949926749999996
2,note_on,56,G#3,0.6299212598425197,0.1412497645833355,44.099926499999995
2,note_on,51,D#3,0.6299212598425197,0.1412497645833355,44.249926249999994
1,note_on,72,C5,0.6299212598425197,0.1412497645833355,44.399925999999994
2,note_on,41,F2,0.6299212598425197,0.2837495270833372,44.399925999999994
1,note_on,70,A#4,0.6299212598425197,0.1412497645833355,44.54992574999999
1,note_on,68,G#4,0.6299212598425197,0.14124976458332839,44.70
2,note_on,51,D#3,0.6299212598425197,0.2837495270833301,44.70
1,note_on,70,A#4,0.6299212598425197,0.14124976458332839,44.85
1,note_on,72,C5,0.6299212598425197,0.5687490520833336,45.00
2,note_on,56,G#3,0.6299212598425197,0.14124976458332839,45.00
2,note_on,55,G3,0.6299212598425197,0.1412497645833355,45.15
2,note_on,53,F3,0.6299212598425197,0.1412497645833355,45.299924499999996
2,note_on,48,C3,0.6299212598425197,0.1412497645833355,45.449924249999995
1,note_on,72,C5,0.6299212598425197,0.1412497645833355,45.599923999999994
2,note_on,38,D2,0.6299212598425197,0.2837495270833301,45.599923999999994
1,note_on,70,A#4,0.6299212598425197,0.1412497645833355,45.749923749999994
1,note_on,68,G#4,0.6299212598425197,0.1412497645833355,45.89992349999999
2,note_on,44,G#2,0.6299212598425197,0.2837495270833372,45.89992349999999
1,note_on,70,A#4,0.6299212598425197,0.14124976458332839,46.05
1,note_on,72,C5,0.6299212598425197,0.14124976458332839,46.20
2,note_on,48,C3,0.6299212598425197,0.2837495270833301,46.20
2,note_on,53,F3,0.6299212598425197,0.2837495270833301,46.20
1,note_on,65,F4,0.6299212598425197,0.14124976458332839,46.35
1,note_on,66,F#4,0.6299212598425197,0.1412497645833355,46.50
2,note_on,44,G#2,0.6299212598425197,0.2837495270833301,46.50
1,note_on,75,D#5,0.6299212598425197,0.1412497645833355,46.649922249999996
1,note_on,74,D5,0.6299212598425197,0.5687490520833336,46.799921999999995
2,note_on,43,G2,0.6299212598425197,0.2837495270833301,46.799921999999995
2,note_on,50,D3,0.6299212598425197,0.2837495270833301,47.099921499999994
2,note_on,53,F3,0.6299212598425197,0.2837495270833301,47.40
2,note_on,59,B3,0.6299212598425197,0.2837495270833301,47.40
1,note_on,74,D5,0.6299212598425197,0.2837495270833301,47.70
2,note_on,50,D3,0.6299212598425197,0.2837495270833301,47.70
1,note_on,75,D#5,0.6299212598425197,0.1412497645833355,47.999919999999996
2,note_on,48,C3,0.6299212598425197,0.2837495270833301,47.999919999999996
1,note_on,74,D5,0.6299212598425197,0.1412497645833355,48.149919749999995
1,note_on,72,C5,0.6299212598425197,0.1412497645833355,48.299919499999994
2,note_on,55,G3,0.6299212598425197,0.2837495270833301,48.299919499999994
1,note_on,74,D5,0.6299212598425197,0.1412497645833355,48.449919249999994
1,note_on,75,D#5,0.6299212598425197,0.1412497645833355,48.59991899999999
2,note_on,60,C4,0.6299212598425197,0.2837495270833372,48.59991899999999
2,note_on,63,D#4,0.6299212598425197,0.2837495270833372,48.59991899999999
1,note_on,77,F5,0.6299212598425197,0.14124976458332839,48.75
1,note_on,79,G5,0.6299212598425197,0.14124976458332839,48.90
2,note_on,55,G3,0.6299212598425197,0.2837495270833301,48.90
1,note_on,67,G4,0.6299212598425197,0.14124976458332839,49.05
1,note_on,68,G#4,0.6299212598425197,0.2837495270833301,49.20
2,note_on,41,F2,0.6299212598425197,0.2837495270833301,49.20
1,note_on,79,G5,0.6299212598425197,0.2837495270833301,49.499917499999995
2,note_on,48,C3,0.6299212598425197,0.2837495270833301,49.499917499999995
0,note_on,77,F5,0.6299212598425197,0.35499940833333454,49.79991699999999
2,note_on,53,F3,0.6299212598425197,0.2837495270833301,49.79991699999999
2,note_on,56,G#3,0.6299212598425197,0.2837495270833301,49.79991699999999
1,note_on,75,D#5,0.6299212598425197,0.097499837,50.10
2,note_on,48,C3,0.6299212598425197,0.2837495270833301,50.10
0,note_on,75,D#5,0.6299212598425197,0.069999883,50.174916374999995
1,note_on,77,F5,0.6299212598425197,0.097499837,50.19866633541667
0,note_on,77,F5,0.6299212598425197,0.069999883,50.25
1,note_on,75,D#5,0.6299212598425197,0.097499838,50.298666168749996
0,note_on,75,D#5,0.6299212598425197,0.069999883,50.324916124999994
1,note_on,74,D5,0.6299212598425197,0.14124976458332839,50.40
2,note_on,46,A#2,0.6299212598425197,0.2837495270833301,50.40
1,note_on,72,C5,0.6299212598425197,0.14124976458332839,50.55
1,note_on,70,A#4,0.6299212598425197,0.1412497645833355,50.699915499999996
2,note_on,53,F3,0.6299212598425197,0.2837495270833301,50.699915499999996
1,note_on,72,C5,0.6299212598425197,0.1412497645833355,50.849915249999995
1,note_on,74,D5,0.6299212598425197,0.1412497645833355,50.999914999999994
2,note_on,58,A#3,0.6299212598425197,0.2837495270833301,50.999914999999994
2,note_on,62,D4,0.6299212598425197,0.2837495270833301,50.999914999999994
1,note_on,75,D#5,0.6299212598425197,0.1412497645833355,51.14991474999999
1,note_on,77,F5,0.6299212598425197,0.1412497645833355,51.29991449999999
2,note_on,53,F3,0.6299212598425197,0.2837495270833372,51.29991449999999
1,note_on,65,F4,0.6299212598425197,0.14124976458332839,51.45
1,note_on,67,G4,0.6299212598425197,0.2837495270833301,51.60
2,note_on,39,D#2,0.6299212598425197,0.2837495270833301,51.60
1,note_on,77,F5,0.6299212598425197,0.2837495270833301,51.90
2,note_on,46,A#2,0.6299212598425197,0.2837495270833301,51.90
0,note_on,75,D#5,0.6299212598425197,0.35499940833333454,52.199912999999995
2,note_on,51,D#3,0.6299212598425197,0.2837495270833301,52.199912999999995
2,note_on,55,G3,0.6299212598425197,0.2837495270833301,52.199912999999995
1,note_on,74,D5,0.6299212598425197,0.097499837,52.49991249999999
2,note_on,46,A#2,0.6299212598425197,0.2837495270833301,52.49991249999999
0,note_on,74,D5,0.6299212598425197,0.069999883,52.57
1,note_on,75,D#5,0.6299212598425197,0.097499837,52.59866233541667
0,note_on,75,D#5,0.6299212598425197,0.069999883,52.64991224999999
1,note_on,74,D5,0.6299212598425197,0.097499838,52.69866216874999
0,note_on,74,D5,0.6299212598425197,0.069999883,52.724912124999996
1,note_on,72,C5,0.6299212598425197,0.1412497645833355,52.79991199999999
2,note_on,44,G#2,0.6299212598425197,0.2837495270833372,52.79991199999999
1,note_on,70,A#4,0.6299212598425197,0.14124976458332839,52.95
1,note_on,68,G#4,0.6299212598425197,0.14124976458332839,53.10
2,note_on,51,D#3,0.6299212598425197,0.2837495270833301,53.10
1,note_on,70,A#4,0.6299212598425197,0.14124976458332839,53.25
1,note_on,72,C5,0.6299212598425197,0.2837495270833301,53.399910999999996
2,note_on,56,G#3,0.6299212598425197,0.2837495270833301,53.399910999999996
2,note_on,60,C4,0.6299212598425197,0.2837495270833301,53.399910999999996
1,note_on,62,D4,0.6299212598425197,0.2837495270833301,53.699910499999994
2,note_on,51,D#3,0.6299212598425197,0.2837495270833301,53.699910499999994
1,note_on,63,D#4,0.6299212598425197,0.2837495270833372,53.99990999999999
2,note_on,41,F2,0.6299212598425197,0.2837495270833372,53.99990999999999
1,note_on,65,F4,0.6299212598425197,0.2837495270833301,54.30
2,note_on,48,C3,0.6299212598425197,0.2837495270833301,54.30
1,note_on,68,G#4,0.6299212598425197,0.2837495270833301,54.60
2,note_on,53,F3,0.6299212598425197,0.2837495270833301,54.60
2,note_on,56,G#3,0.6299212598425197,0.2837495270833301,54.60
1,note_on,72,C5,0.6299212598425197,0.2837495270833301,54.899908499999995
2,note_on,48,C3,0.6299212598425197,0.2837495270833301,54.899908499999995
1,note_on,71,B4,0.6299212598425197,0.2837495270833301,55.19990799999999
2,note_on,38,D2,0.6299212598425197,0.2837495270833301,55.19990799999999
1,note_on,65,F4,0.6299212598425197,0.2837495270833372,55.49990749999999
2,note_on,44,G#2,0.6299212598425197,0.2837495270833372,55.49990749999999
1,note_on,66,F#4,0.6299212598425197,0.2837495270833301,55.80
2,note_on,48,C3,0.6299212598425197,0.2837495270833301,55.80
2,note_on,53,F3,0.6299212598425197,0.2837495270833301,55.80
1,note_on,75,D#5,0.6299212598425197,0.2837495270833301,56.099906499999996
2,note_on,44,G#2,0.6299212598425197,0.2837495270833301,56.099906499999996
1,note_on,74,D5,0.6299212598425197,0.5687490520833336,56.399905999999994
2,note_on,43,G2,0.6299212598425197,0.2837495270833301,56.399905999999994
2,note_on,50,D3,0.6299212598425197,0.2837495270833301,56.69990549999999
2,note_on,53,F3,0.6299212598425197,0.2837495270833301,57.00
2,note_on,59,B3,0.6299212598425197,0.2837495270833301,57.00
1,note_on,71,B4,0.6299212598425197,0.14124976458332839,57.15
1,note_on,72,C5,0.6299212598425197,0.14124976458332839,57.30
2,note_on,50,D3,0.6299212598425197,0.14124976458332839,57.30
1,note_on,74,D5,0.6299212598425197,0.1412497645833355,57.449904249999996
1,note_on,79,G5,0.6299212598425197,0.1412497645833355,57.599903999999995
